iter	Passed	Remaining
420	2428	3339
421	2434	3334
422	2440	3328
423	2445	3322
424	2451	3317
425	2457	3310
426	2462	3304
427	2468	3299
428	2474	3292
429	2479	3287
430	2486	3282
431	2494	3279
432	2500	3274
433	2511	3275
434	2518	3271
435	2523	3264
436	2529	3259
437	2536	3254
438	2542	3248
439	2547	3242
440	2553	3237
441	2559	3231
442	2565	3226
443	2571	3220
444	2577	3214
445	2583	3208
446	2588	3202
447	2594	3196
448	2600	3190
449	2605	3184
450	2611	3179
451	2617	3173
452	2623	3168
453	2629	3162
454	2635	3156
455	2641	3150
456	2646	3144
457	2652	3138
458	2658	3133
459	2664	3127
460	2671	3123
461	2677	3117
462	2683	3112
463	2689	3106
464	2694	3100
465	2700	3094
466	2706	3088
467	2712	3083
468	2718	3077
469	2724	3072
470	2730	3066
471	2736	3060
472	2742	3055
473	2748	3049
474	2753	3043
475	2759	3037
476	2764	3031
477	2770	3026
478	2776	3020
479	2782	3014
480	2788	3009
481	2793	3002
482	2799	2996
483	2805	2990
484	2810	2984
485	2815	2978
486	2821	2972
487	2826	2965
488	2832	2959
489	2838	2953
490	2843	2947
491	2849	2942
492	2855	2936
493	2860	2929
494	2866	2924
495	2871	2918
496	2877	2911
497	2883	2906
498	2889	2900
499	2894	2894
500	2900	2888
501	2905	2882
502	2910	2876
503	2916	2870
504	2921	2864
505	2927	2857
506	2933	2852
507	2939	2846
508	2944	2840
509	2950	2834
510	2955	2828
511	2961	2822
512	2967	2816
513	2972	2810
514	2978	2804
515	2984	2799
516	2989	2792
517	2995	2786
518	3000	2781
519	3005	2774
520	3011	2768
521	3016	2762
522	3022	2756
523	3027	2750
524	3033	2744
525	3038	2738
526	3044	2732
527	3049	2726
528	3055	2720
529	3060	2714
530	3066	2708
531	3071	2701
532	3078	2697
533	3084	2691
534	3089	2685
535	3095	2679
536	3100	2673
537	3106	2667
538	3111	2661
539	3117	2655
540	3122	2649
541	3128	2643
542	3134	2637
543	3139	2631
544	3145	2626
545	3150	2619
546	3156	2614
547	3162	2608
548	3167	2602
549	3173	2596
550	3178	2590
551	3184	2584
552	3189	2578
553	3194	2572
554	3200	2565
555	3205	2559
556	3210	2553
557	3217	2548
558	3223	2542
559	3228	2536
560	3233	2530
561	3239	2524
562	3246	2519
563	3251	2513
564	3257	2507
565	3262	2501
566	3267	2495
567	3274	2490
568	3279	2484
569	3284	2477
570	3290	2472
571	3296	2466
572	3301	2460
573	3307	2455
574	3313	2448
575	3318	2443
576	3324	2437
577	3329	2430
578	3335	2425
579	3341	2419
580	3346	2413
581	3353	2408
582	3358	2402
583	3364	2396
584	3369	2390
585	3375	2384
586	3380	2378
587	3386	2372
588	3392	2367
589	3397	2361
590	3403	2355
591	3408	2349
592	3414	2343
593	3419	2337
594	3425	2331
595	3430	2325
596	3435	2319
597	3441	2313
598	3446	2307
599	3451	2301
600	3457	2295
601	3463	2289
602	3468	2283
603	3473	2277
604	3479	2272
605	3485	2266
606	3491	2260
607	3497	2254
608	3502	2248
609	3508	2243
610	3513	2237
611	3518	2230
612	3524	2224
613	3529	2219
614	3534	2212
615	3542	2208
616	3548	2202
617	3554	2197
618	3560	2191
619	3565	2185
620	3571	2179
621	3576	2173
622	3581	2167
623	3587	2161
624	3593	2156
625	3599	2150
626	3604	2144
627	3609	2138
628	3615	2132
629	3621	2126
630	3631	2123
631	3636	2117
632	3642	2111
633	3648	2106
634	3654	2100
635	3660	2095
636	3665	2088
637	3671	2083
638	3677	2077
639	3682	2071
640	3688	2065
641	3693	2059
642	3698	2053
643	3703	2047
644	3709	2041
645	3715	2035
646	3720	2030
647	3726	2024
648	3731	2018
649	3737	2012
650	3742	2006
651	3747	2000
652	3755	1995
653	3760	1989
654	3765	1983
655	3771	1977
656	3776	1971
657	3782	1965
658	3787	1960
659	3793	1954
660	3798	1948
661	3804	1942
662	3809	1936
663	3815	1930
664	3821	1924
665	3826	1918
666	3831	1912
667	3837	1907
668	3842	1901
669	3847	1895
670	3853	1889
671	3858	1883
672	3864	1877
673	3869	1871
674	3874	1865
675	3880	1859
676	3886	1854
677	3891	1848
678	3897	1842
